Name,Description,Category
What was the global average concentration of methane (CH4) in the atmosphere in parts per billion (ppb) around 2022–2023?,"~1,900 ppb (1.9 ppm)",Weather Climate
What is the estimated annual area of global forest loss in million hectares per year (recent decade average)?,~10 million hectares per year,Weather Climate
What is the average speed of jet stream winds (km/h) commonly observed in the mid-latitudes?,Around 160–320 km/h (typical mean ~200 km/h),Weather Climate
What is the approximate volume of freshwater in all of Earth's lakes in cubic kilometers?,"~176,400 km³",Weather Climate
Approximately how many heat-related deaths occur globally each year (recent estimates)?,"Around 500,000 heat-related deaths per year (estimate varies by study)",Weather Climate
What is the typical pressure at sea level in millibars (hPa)?,1013.25 hPa (standard atmospheric pressure),Weather Climate
"What was the estimated global mean sea surface temperature in 2023 (°C, approximate)?",~17.2 °C (global mean sea surface temperature around 2023),Weather Climate
Approximately how many billion tons of plastic enter the oceans each year (recent estimates)?,~8 million metric tons per year,Weather Climate
What is the approximate area of the Amazon rainforest in square kilometers?,~5.5 million km²,Weather Climate
How many years does a typical El Niño / La Niña cycle (ENSO) occur on average?,Every 2–7 years (typical average ~3–4 years),Weather Climate
What fraction of global human-caused greenhouse gas emissions is CO2 from fossil fuels (approximate percent)?,~75% of total greenhouse gas emissions (CO2 from fossil fuels and industry ~75%),Weather Climate
What is the approximate depth of the ocean's average (mean) depth in meters?,"~3,688 meters (mean ocean depth)",Weather Climate
Approximately how many people worldwide are currently living in areas that are expected to be below the mean sea level by 2100 under high-emissions scenarios (estimate)?,Tens of millions (estimate range 10–200 million depending on scenario and adaptation; commonly cited mid-range ~100 million),Weather Climate
What is the typical concentration of atmospheric water vapor in the lower atmosphere by mass (approximate percent)?,~0.25% by mass on average (varies widely by location),Weather Climate
What is the current estimated global average annual temperature increase per decade (°C/decade) in recent decades?,~0.18 °C per decade (varies by dataset and baseline),Weather Climate
In what year did the Roman Empire officially fall?,476 CE,World History
How many years did the Hundred Years' War actually last?,116 years (1337-1453),World History
In what year did Columbus first reach the Americas?,1492,World History
How many years did the Ming Dynasty rule China?,276 years (1368-1644),World History
In what year did World War I begin?,1914,World History
What was the approximate world population in the year 1 CE?,About 200-300 million people,World History
How many people died in the Black Death pandemic (1347-1351)?,About 75-200 million people,World History
What was the population of the Roman Empire at its peak around 117 CE?,About 60-80 million people,World History
How many people were killed during the Mongol Conquests (13th century)?,About 30-40 million people,World History
What was the population of London during the Shakespearean era (around 1600)?,"About 200,000 people",World History
How many miles long was the Great Wall of China at its peak?,"About 13,000 miles (21,000 km)",World History
How many miles did the Silk Road span at its height?,"About 4,000 miles (6,400 km)",World History
How deep were the trenches used in World War I?,About 7-10 feet deep (2-3 meters),World History
How many square miles did the Mongol Empire cover at its peak?,About 9.3 million square miles (24 million km²),World History
How many miles did the Berlin Wall stretch through the city?,About 96 miles (155 km),World History
How many soldiers fought in the Battle of Gettysburg?,"About 165,000 soldiers total",World History
How many pyramids were built in ancient Egypt?,About 118 pyramids identified,World History
How many books were in the Library of Alexandria at its peak?,"About 400,000-700,000 scrolls",World History
How many people signed the U.S. Declaration of Independence?,56 people,World History
How many years did it take to build the Great Pyramid of Giza?,About 20-27 years,World History
How much did the Louisiana Purchase cost in 1803 (in dollars)?,$15 million,World History
How many pounds of tea were thrown into Boston Harbor during the Boston Tea Party?,"About 342 chests (90,000 pounds)",World History
What was the approximate cost of building the Panama Canal in today's dollars?,About $8-9 billion,World History
How many slaves were transported from Africa to the Americas during the transatlantic slave trade?,About 12.5 million people,World History
How many years did it take to build the Trans-Siberian Railway?,About 25 years (1891-1916),World History
