Name,Description,Category
Karachi,thing | object | item | word,Pakistan, Sindh, Punjab,Pakistani Cities
Stone,thing | object | item | word,outdoor, earth, sky,Nature
TV,thing | object | item | word,device, screen, battery,Electronics
Radio,thing | object | item | word,device, screen, battery,Electronics
Computer,thing | object | item | word,device, screen, battery,Electronics
Laptop,thing | object | item | word,device, screen, battery,Electronics
Mobile,thing | object | item | word,device, screen, battery,Electronics
Tablet,thing | object | item | word,device, screen, battery,Electronics
Camera,thing | object | item | word,device, screen, battery,Electronics
Speaker,thing | object | item | word,device, screen, battery,Electronics
Headphone,thing | object | item | word,device, screen, battery,Electronics
Mouse,thing | object | item | word,device, screen, battery,Electronics
Keyboard,thing | object | item | word,device, screen, battery,Electronics
Printer,thing | object | item | word,device, screen, battery,Electronics
Scanner,thing | object | item | word,device, screen, battery,Electronics
Fan,thing | object | item | word,device, screen, battery,Electronics
AC,thing | object | item | word,device, screen, battery,Electronics
Heater,thing | object | item | word,device, screen, battery,Electronics
Fridge,thing | object | item | word,device, screen, battery,Electronics
Oven,thing | object | item | word,device, screen, battery,Electronics
Microwave,thing | object | item | word,device, screen, battery,Electronics
Iron,thing | object | item | word,device, screen, battery,Electronics
Blender,thing | object | item | word,device, screen, battery,Electronics
Toaster,thing | object | item | word,device, screen, battery,Electronics
Juicer,thing | object | item | word,device, screen, battery,Electronics
Watch,thing | object | item | word,device, screen, battery,Electronics
Clock,thing | object | item | word,device, screen, battery,Electronics
Hammer,thing | object | item | word,metal, work, fix,Tools
Nail,thing | object | item | word,metal, work, fix,Tools
Screw,thing | object | item | word,metal, work, fix,Tools
Screwdriver,thing | object | item | word,metal, work, fix,Tools
Wrench,thing | object | item | word,metal, work, fix,Tools
Plier,thing | object | item | word,metal, work, fix,Tools
Saw,thing | object | item | word,metal, work, fix,Tools
Drill,thing | object | item | word,metal, work, fix,Tools
Axe,thing | object | item | word,metal, work, fix,Tools
Shovel,thing | object | item | word,metal, work, fix,Tools
Spade,thing | object | item | word,metal, work, fix,Tools
Rake,thing | object | item | word,metal, work, fix,Tools
Hoe,thing | object | item | word,metal, work, fix,Tools
Ladder,thing | object | item | word,metal, work, fix,Tools
Tape Measure,Tape | thing | object | item,tool, metal, work,Tools
Level,thing | object | item | word,metal, work, fix,Tools
Chisel,thing | object | item | word,metal, work, fix,Tools
File,thing | object | item | word,metal, work, fix,Tools
Clamp,thing | object | item | word,metal, work, fix,Tools
Vice,thing | object | item | word,metal, work, fix,Tools
Cutter,thing | object | item | word,metal, work, fix,Tools
Scissor,thing | object | item | word,metal, work, fix,Tools
Knife,thing | object | item | word,metal, work, fix,Tools
Torch,thing | object | item | word,metal, work, fix,Tools
Brush,thing | object | item | word,metal, work, fix,Tools
Cotton,thing | object | item | word,material, soft, weave,Fabrics
Silk,thing | object | item | word,material, soft, weave,Fabrics
Wool,thing | object | item | word,material, soft, weave,Fabrics
Lawn,thing | object | item | word,material, soft, weave,Fabrics
Linen,thing | object | item | word,material, soft, weave,Fabrics
Khaddar,thing | object | item | word,material, soft, weave,Fabrics
Velvet,thing | object | item | word,material, soft, weave,Fabrics
Chiffon,thing | object | item | word,material, soft, weave,Fabrics
Georgette,thing | object | item | word,material, soft, weave,Fabrics
Denim,thing | object | item | word,material, soft, weave,Fabrics
Leather,thing | object | item | word,material, soft, weave,Fabrics
Polyester,thing | object | item | word,material, soft, weave,Fabrics
Rayon,thing | object | item | word,material, soft, weave,Fabrics
Satin,thing | object | item | word,material, soft, weave,Fabrics
Net,thing | object | item | word,material, soft, weave,Fabrics
Banarasi,thing | object | item | word,material, soft, weave,Fabrics
Jamawar,thing | object | item | word,material, soft, weave,Fabrics
Organza,thing | object | item | word,material, soft, weave,Fabrics
Pashmina,thing | object | item | word,material, soft, weave,Fabrics
Jute,thing | object | item | word,material, soft, weave,Fabrics
Nylon,thing | object | item | word,material, soft, weave,Fabrics
Spandex,thing | object | item | word,material, soft, weave,Fabrics
Fleece,thing | object | item | word,material, soft, weave,Fabrics
Corduroy,thing | object | item | word,material, soft, weave,Fabrics
Canvas,thing | object | item | word,material, soft, weave,Fabrics
Water,thing | object | item | word,liquid, cup, hot,Beverages
Milk,thing | object | item | word,liquid, cup, hot,Beverages
Tea,thing | object | item | word,liquid, cup, hot,Beverages
Coffee,thing | object | item | word,liquid, cup, hot,Beverages
Juice,thing | object | item | word,liquid, cup, hot,Beverages
Soda,thing | object | item | word,liquid, cup, hot,Beverages
Lassi,thing | object | item | word,liquid, cup, hot,Beverages
Shake,thing | object | item | word,liquid, cup, hot,Beverages
Smoothie,thing | object | item | word,liquid, cup, hot,Beverages
Lemonade,thing | object | item | word,liquid, cup, hot,Beverages
Squash,thing | object | item | word,liquid, cup, hot,Beverages
Sherbet,thing | object | item | word,liquid, cup, hot,Beverages
Rooh Afza,Rooh | thing | object | item,drink, liquid, cup,Beverages
Kanji,thing | object | item | word,liquid, cup, hot,Beverages
Sattu,thing | object | item | word,liquid, cup, hot,Beverages
Buttermilk,thing | object | item | word,liquid, cup, hot,Beverages
Green Tea,Green | thing | object | item,drink, liquid, cup,Beverages
Kashmiri Chai,Kashmiri | thing | object | item,drink, liquid, cup,Beverages
Doodh Soda,Doodh | thing | object | item,drink, liquid, cup,Beverages
Cold Drink,Cold | thing | object | item,liquid, cup, hot,Beverages
Energy Drink,Energy | thing | object | item,liquid, cup, hot,Beverages
Soup,thing | object | item | word,liquid, cup, hot,Beverages
Broth,thing | object | item | word,liquid, cup, hot,Beverages
Cider,thing | object | item | word,liquid, cup, hot,Beverages
Cocoa,thing | object | item | word,liquid, cup, hot,Beverages
Gulab Jamun,Gulab | thing | object | item,sweet, sugar, eat,Desserts
Barfi,thing | object | item | word,sugar, eat, delicious,Desserts
Jalebi,thing | object | item | word,sugar, eat, delicious,Desserts
Laddu,thing | object | item | word,sugar, eat, delicious,Desserts
Halwa,thing | object | item | word,sugar, eat, delicious,Desserts
Kheer,thing | object | item | word,sugar, eat, delicious,Desserts
Custard,thing | object | item | word,sugar, eat, delicious,Desserts
Cake,thing | object | item | word,sugar, eat, delicious,Desserts
Pastry,thing | object | item | word,sugar, eat, delicious,Desserts
Ice Cream,Ice | thing | object | item,sweet, sugar, eat,Desserts
Chocolate,thing | object | item | word,sugar, eat, delicious,Desserts
Cookie,thing | object | item | word,sugar, eat, delicious,Desserts
Biscuit,thing | object | item | word,sugar, eat, delicious,Desserts
Brownie,thing | object | item | word,sugar, eat, delicious,Desserts
Pudding,thing | object | item | word,sugar, eat, delicious,Desserts
Trifle,thing | object | item | word,sugar, eat, delicious,Desserts
Falooda,thing | object | item | word,sugar, eat, delicious,Desserts
Ras Malai,Ras | thing | object | item,sweet, sugar, eat,Desserts
Cham Cham,Cham | thing | object | item,sweet, sugar, eat,Desserts
Sohan Halwa,Sohan | thing | object | item,sweet, sugar, eat,Desserts
Patisa,thing | object | item | word,sugar, eat, delicious,Desserts
Kalakand,thing | object | item | word,sugar, eat, delicious,Desserts
Zarda,thing | object | item | word,sugar, eat, delicious,Desserts
Sheer Khurma,Sheer | thing | object | item,sweet, sugar, eat,Desserts
Sawaiyan,thing | object | item | word,sugar, eat, delicious,Desserts
Mother,thing | object | item | word,relative, blood, relation,Family Relations
Father,thing | object | item | word,relative, blood, relation,Family Relations
Brother,thing | object | item | word,relative, blood, relation,Family Relations
Sister,thing | object | item | word,relative, blood, relation,Family Relations
Son,thing | object | item | word,relative, blood, relation,Family Relations
Daughter,thing | object | item | word,relative, blood, relation,Family Relations
Grandfather,thing | object | item | word,relative, blood, relation,Family Relations
Grandmother,thing | object | item | word,relative, blood, relation,Family Relations
Uncle,thing | object | item | word,relative, blood, relation,Family Relations
Aunt,thing | object | item | word,relative, blood, relation,Family Relations
Cousin,thing | object | item | word,relative, blood, relation,Family Relations
Nephew,thing | object | item | word,relative, blood, relation,Family Relations
Niece,thing | object | item | word,relative, blood, relation,Family Relations
Husband,thing | object | item | word,relative, blood, relation,Family Relations
Wife,thing | object | item | word,relative, blood, relation,Family Relations
Father-in-law,Father | thing | object | item,family, relative, blood,Family Relations
Mother-in-law,Mother | thing | object | item,family, relative, blood,Family Relations
Brother-in-law,Brother | thing | object | item,family, relative, blood,Family Relations
Sister-in-law,Sister | thing | object | item,family, relative, blood,Family Relations
Step-mother,Step | thing | object | item,family, relative, blood,Family Relations
Step-father,Step | thing | object | item,family, relative, blood,Family Relations
Grandson,thing | object | item | word,relative, blood, relation,Family Relations
Granddaughter,thing | object | item | word,relative, blood, relation,Family Relations
Ancestor,thing | object | item | word,relative, blood, relation,Family Relations
Relative,thing | object | item | word,blood, relation, similar,Family Relations
Abu Bakr,Abu | thing | object | item,companion, Prophet, Caliph,Sahaba
Umar,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Uthman,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Ali,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Bilal,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Khalid,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Salman,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Abu Huraira,Abu | thing | object | item,companion, Prophet, Caliph,Sahaba
Aisha,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Khadija,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Fatima,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Hassan,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Hussain,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Zaid,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Talha,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Zubair,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Saad,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Abdur Rahman,Abdur | thing | object | item,companion, Prophet, Caliph,Sahaba
Anas,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Abdullah,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Muadh,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Usamah,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Ammar,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Suhaib,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Abu Ubaidah,Abu | thing | object | item,companion, Prophet, Caliph,Sahaba
Hamza,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Abbas,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Jafar,thing | object | item | word,Prophet, Caliph, Muslim,Sahaba
Adam,thing | object | item | word,messenger, Allah, revelation,Prophets
Noah,thing | object | item | word,messenger, Allah, revelation,Prophets
Abraham,thing | object | item | word,messenger, Allah, revelation,Prophets
Ishmael,thing | object | item | word,messenger, Allah, revelation,Prophets
Isaac,thing | object | item | word,messenger, Allah, revelation,Prophets
Jacob,thing | object | item | word,messenger, Allah, revelation,Prophets
Joseph,thing | object | item | word,messenger, Allah, revelation,Prophets
Moses,thing | object | item | word,messenger, Allah, revelation,Prophets
Aaron,thing | object | item | word,messenger, Allah, revelation,Prophets
David,thing | object | item | word,messenger, Allah, revelation,Prophets
Solomon,thing | object | item | word,messenger, Allah, revelation,Prophets
Job,thing | object | item | word,messenger, Allah, revelation,Prophets
Jonah,thing | object | item | word,messenger, Allah, revelation,Prophets
Elijah,thing | object | item | word,messenger, Allah, revelation,Prophets
Elisha,thing | object | item | word,messenger, Allah, revelation,Prophets
Zachariah,thing | object | item | word,messenger, Allah, revelation,Prophets
John,thing | object | item | word,messenger, Allah, revelation,Prophets
Jesus,thing | object | item | word,messenger, Allah, revelation,Prophets
Muhammad,thing | object | item | word,messenger, Allah, revelation,Prophets
Lot,thing | object | item | word,messenger, Allah, revelation,Prophets
Shuaib,thing | object | item | word,messenger, Allah, revelation,Prophets
Hud,thing | object | item | word,messenger, Allah, revelation,Prophets
Saleh,thing | object | item | word,messenger, Allah, revelation,Prophets
Idris,thing | object | item | word,messenger, Allah, revelation,Prophets
Dhul-Kifl,Dhul | thing | object | item,prophet, messenger, Allah,Prophets
Yunus,thing | object | item | word,messenger, Allah, revelation,Prophets
Allah,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Islam,thing | object | item | word,Arabic, religious, similar,Islamic Terms
Muslim,thing | object | item | word,Arabic, religious, similar,Islamic Terms
Quran,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Hadith,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Sunnah,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Salah,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Zakat,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Sawm,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Hajj,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Shahada,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Iman,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Taqwa,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Dua,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Dhikr,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Jannah,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Jahannam,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Ramadan,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Eid,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Kaaba,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Mecca,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Medina,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Masjid,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Imam,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Wudu,thing | object | item | word,Muslim, Arabic, religious,Islamic Terms
Mecca,thing | object | item | word,holy, pilgrimage, similar,Islamic Locations
Medina,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Jerusalem,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Kaaba,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Masjid al-Haram,Masjid | thing | object | item,mosque, holy, Mecca,Islamic Locations
Masjid al-Nabawi,Masjid | thing | object | item,mosque, holy, Mecca,Islamic Locations
Al-Aqsa,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Dome of the Rock,Dome | thing | object | item,mosque, holy, Mecca,Islamic Locations
Mount Arafat,Mount | thing | object | item,mosque, holy, Mecca,Islamic Locations
Mina,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Muzdalifah,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Safa,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Marwa,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Zamzam,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Cave Hira,Cave | thing | object | item,mosque, holy, Mecca,Islamic Locations
Cave Thawr,Cave | thing | object | item,mosque, holy, Mecca,Islamic Locations
Uhud,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Badr,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Quba,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Jannat al-Baqi,Jannat | thing | object | item,mosque, holy, Mecca,Islamic Locations
Mount Uhud,Mount | thing | object | item,mosque, holy, Mecca,Islamic Locations
Hudaybiyyah,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Taif,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Tabuk,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Khaybar,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Yemen,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Damascus,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Baghdad,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Cordoba,thing | object | item | word,holy, Mecca, pilgrimage,Islamic Locations
Salahuddin,thing | object | item | word,Islamic, famous, history,Muslim Historical Figures
Ibn Sina,Ibn | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Al-Khwarizmi,thing | object | item | word,Islamic, famous, history,Muslim Historical Figures
Ibn Rushd,Ibn | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Al-Ghazali,thing | object | item | word,Islamic, famous, history,Muslim Historical Figures
Rumi,thing | object | item | word,Islamic, famous, history,Muslim Historical Figures
Ibn Battuta,Ibn | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Al-Biruni,thing | object | item | word,Islamic, famous, history,Muslim Historical Figures
Ibn Khaldun,Ibn | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Harun al-Rashid,Harun | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Tariq ibn Ziyad,Tariq | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Umar ibn Abdul Aziz,Umar | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Imam Bukhari,Imam | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Imam Muslim,Imam | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Imam Abu Hanifa,Imam | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Imam Malik,Imam | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Imam Shafi,Imam | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Imam Ahmad,Imam | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Al-Farabi,thing | object | item | word,Islamic, famous, history,Muslim Historical Figures
Ibn Taymiyyah,Ibn | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Al-Razi,thing | object | item | word,Islamic, famous, history,Muslim Historical Figures
Omar Khayyam,Omar | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Fatima al-Fihri,Fatima | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
Nusaybah,thing | object | item | word,Islamic, famous, history,Muslim Historical Figures
Sultan Mehmed,Sultan | thing | object | item,scholar, Islamic, famous,Muslim Historical Figures
