Title,Description,Category
Sunan Abi Dawud,275 AH,Kutub al-Sittah (Chronological Author Death)
Jami al-Tirmidhi,279 AH,Kutub al-Sittah (Chronological Author Death)
Sunan al-Nasa'i,303 AH,Kutub al-Sittah (Chronological Author Death)
Philosopher's Stone,1997,Harry Potter Books (Publication Order)
Chamber of Secrets,1998,Harry Potter Books (Publication Order)
Prisoner of Azkaban,1999,Harry Potter Books (Publication Order)
Goblet of Fire,2000,Harry Potter Books (Publication Order)
Order of the Phoenix,2003,Harry Potter Books (Publication Order)
Half-Blood Prince,2005,Harry Potter Books (Publication Order)
Deathly Hallows,2007,Harry Potter Books (Publication Order)
Iron Man,May 2008,Marvel Phase 1 Movies (Release Order)
The Incredible Hulk,June 2008,Marvel Phase 1 Movies (Release Order)
Iron Man 2,2010,Marvel Phase 1 Movies (Release Order)
Thor,May 2011,Marvel Phase 1 Movies (Release Order)
Captain America: The First Avenger,July 2011,Marvel Phase 1 Movies (Release Order)
The Avengers,2012,Marvel Phase 1 Movies (Release Order)
A New Hope,1977,Star Wars Skywalker Saga (Release Order)
The Empire Strikes Back,1980,Star Wars Skywalker Saga (Release Order)
Return of the Jedi,1983,Star Wars Skywalker Saga (Release Order)
The Phantom Menace,1999,Star Wars Skywalker Saga (Release Order)
Attack of the Clones,2002,Star Wars Skywalker Saga (Release Order)
Revenge of the Sith,2005,Star Wars Skywalker Saga (Release Order)
The Force Awakens,2015,Star Wars Skywalker Saga (Release Order)
The Last Jedi,2017,Star Wars Skywalker Saga (Release Order)
The Rise of Skywalker,2019,Star Wars Skywalker Saga (Release Order)
The Fellowship of the Ring,1,Lord of the Rings Volumes (Order)
The Two Towers,2,Lord of the Rings Volumes (Order)
The Return of the King,3,Lord of the Rings Volumes (Order)
"The Lion, the Witch and the Wardrobe",1950,Chronicles of Narnia (Publication Order)
Prince Caspian,1951,Chronicles of Narnia (Publication Order)
The Voyage of the Dawn Treader,1952,Chronicles of Narnia (Publication Order)
The Silver Chair,1953,Chronicles of Narnia (Publication Order)
The Horse and His Boy,1954,Chronicles of Narnia (Publication Order)
The Magician's Nephew,1955,Chronicles of Narnia (Publication Order)
The Last Battle,1956,Chronicles of Narnia (Publication Order)
Russia,1,Largest Countries (Area - Descending)
Canada,2,Largest Countries (Area - Descending)
China,3,Largest Countries (Area - Descending)
United States,4,Largest Countries (Area - Descending)
Brazil,5,Largest Countries (Area - Descending)
Australia,6,Largest Countries (Area - Descending)
India,7,Largest Countries (Area - Descending)
Argentina,8,Largest Countries (Area - Descending)
Kazakhstan,9,Largest Countries (Area - Descending)
Algeria,10,Largest Countries (Area - Descending)
India,1,Most Populous Countries (2024 Est - Descending)
China,2,Most Populous Countries (2024 Est - Descending)
United States,3,Most Populous Countries (2024 Est - Descending)
Indonesia,4,Most Populous Countries (2024 Est - Descending)
Pakistan,5,Most Populous Countries (2024 Est - Descending)
Nigeria,6,Most Populous Countries (2024 Est - Descending)
Brazil,7,Most Populous Countries (2024 Est - Descending)
Bangladesh,8,Most Populous Countries (2024 Est - Descending)
Russia,9,Most Populous Countries (2024 Est - Descending)
Ethiopia,10,Most Populous Countries (2024 Est - Descending)
$1,1,US Dollar Bills (Face Value)
$2,2,US Dollar Bills (Face Value)
$5,3,US Dollar Bills (Face Value)
$10,4,US Dollar Bills (Face Value)
$20,5,US Dollar Bills (Face Value)
$50,6,US Dollar Bills (Face Value)
$100,7,US Dollar Bills (Face Value)
Blue,1,Olympic Rings (Left to Right)
Yellow,2,Olympic Rings (Left to Right)
Black,3,Olympic Rings (Left to Right)
Green,4,Olympic Rings (Left to Right)
Red,5,Olympic Rings (Left to Right)
Brown,1,Monopoly Color Groups (Board Order)
Light Blue,2,Monopoly Color Groups (Board Order)
Pink,3,Monopoly Color Groups (Board Order)
Orange,4,Monopoly Color Groups (Board Order)
Red,5,Monopoly Color Groups (Board Order)
Yellow,6,Monopoly Color Groups (Board Order)
Green,7,Monopoly Color Groups (Board Order)
Dark Blue,8,Monopoly Color Groups (Board Order)
Shahada,Faith,Islamic Pillars (Order)
Salah,Prayer,Islamic Pillars (Order)
Zakat,Charity,Islamic Pillars (Order)
Sawm,Fasting,Islamic Pillars (Order)
Hajj,Pilgrimage,Islamic Pillars (Order)
Penny,$0.01,US Coins (Value)
Nickel,$0.05,US Coins (Value)
Dime,$0.10,US Coins (Value)
Quarter,$0.25,US Coins (Value)
Half Dollar,$0.50,US Coins (Value)
Dollar Coin,$1.00,US Coins (Value)
Asia,1,Continents (Population - High to Low)
Africa,2,Continents (Population - High to Low)
Europe,3,Continents (Population - High to Low)
North America,4,Continents (Population - High to Low)
South America,5,Continents (Population - High to Low)
Australia/Oceania,6,Continents (Population - High to Low)
Antarctica,7,Continents (Population - High to Low)
Mercury,1,Planets (Diameter - Small to Large)
Mars,2,Planets (Diameter - Small to Large)
Venus,3,Planets (Diameter - Small to Large)
Earth,4,Planets (Diameter - Small to Large)
Neptune,5,Planets (Diameter - Small to Large)
Uranus,6,Planets (Diameter - Small to Large)
Saturn,7,Planets (Diameter - Small to Large)
Jupiter,8,Planets (Diameter - Small to Large)
Lake Superior,1,Great Lakes (Area - Large to Small)
Lake Huron,2,Great Lakes (Area - Large to Small)
Lake Michigan,3,Great Lakes (Area - Large to Small)
Lake Erie,4,Great Lakes (Area - Large to Small)
Lake Ontario,5,Great Lakes (Area - Large to Small)
Kosciuszko,"2,228 m",Seven Summits (Height - Low to High)
Vinson Massif,"4,892 m",Seven Summits (Height - Low to High)
Elbrus,"5,642 m",Seven Summits (Height - Low to High)
Kilimanjaro,"5,895 m",Seven Summits (Height - Low to High)
Denali,"6,190 m",Seven Summits (Height - Low to High)
Aconcagua,"6,961 m",Seven Summits (Height - Low to High)
Mount Everest,"8,848 m",Seven Summits (Height - Low to High)
Nile,1,Rivers (Length - Long to Short)
Amazon,2,Rivers (Length - Long to Short)
Yangtze,3,Rivers (Length - Long to Short)
Mississippi-Missouri,4,Rivers (Length - Long to Short)
Yenisei,5,Rivers (Length - Long to Short)
Antarctic Desert,1,Deserts (Area - Large to Small)
Arctic Desert,2,Deserts (Area - Large to Small)
Sahara Desert,3,Deserts (Area - Large to Small)
Arabian Desert,4,Deserts (Area - Large to Small)
Gobi Desert,5,Deserts (Area - Large to Small)
Domain,1,Taxonomic Ranks (Broad to Specific)
Kingdom,2,Taxonomic Ranks (Broad to Specific)
Phylum,3,Taxonomic Ranks (Broad to Specific)
Class,4,Taxonomic Ranks (Broad to Specific)
Order,5,Taxonomic Ranks (Broad to Specific)
Family,6,Taxonomic Ranks (Broad to Specific)
Genus,7,Taxonomic Ranks (Broad to Specific)
Species,8,Taxonomic Ranks (Broad to Specific)
Row 1,1 pin,Bowling Pin Rows (Count)
Row 2,2 pins,Bowling Pin Rows (Count)
Row 3,3 pins,Bowling Pin Rows (Count)
Row 4,4 pins,Bowling Pin Rows (Count)
Ceres,1,Dwarf Planets (Distance from Sun)
Pluto,2,Dwarf Planets (Distance from Sun)
Haumea,3,Dwarf Planets (Distance from Sun)
Makemake,4,Dwarf Planets (Distance from Sun)
Eris,5,Dwarf Planets (Distance from Sun)
African Elephant,1,Land Animals (Weight - Heavy to Light)
Asian Elephant,2,Land Animals (Weight - Heavy to Light)
White Rhinoceros,3,Land Animals (Weight - Heavy to Light)
Hippopotamus,4,Land Animals (Weight - Heavy to Light)
Giraffe,5,Land Animals (Weight - Heavy to Light)
Oxygen,1,Elements (Abundance in Crust - High to Low)
Silicon,2,Elements (Abundance in Crust - High to Low)
Aluminum,3,Elements (Abundance in Crust - High to Low)
Iron,4,Elements (Abundance in Crust - High to Low)
Calcium,5,Elements (Abundance in Crust - High to Low)
Sodium,6,Elements (Abundance in Crust - High to Low)
Magnesium,7,Elements (Abundance in Crust - High to Low)
Potassium,8,Elements (Abundance in Crust - High to Low)
Nitrogen,78%,Elements (Abundance in Atmosphere - High to Low)
Oxygen,21%,Elements (Abundance in Atmosphere - High to Low)
Argon,0.9%,Elements (Abundance in Atmosphere - High to Low)
Carbon Dioxide,0.04%,Elements (Abundance in Atmosphere - High to Low)
Neon,5,Elements (Abundance in Atmosphere - High to Low)
Radio Waves,1,EM Spectrum (Frequency - Low to High)
Microwaves,2,EM Spectrum (Frequency - Low to High)
Infrared,3,EM Spectrum (Frequency - Low to High)
Visible Light,4,EM Spectrum (Frequency - Low to High)
Ultraviolet,5,EM Spectrum (Frequency - Low to High)
X-Rays,6,EM Spectrum (Frequency - Low to High)
Gamma Rays,7,EM Spectrum (Frequency - Low to High)
Zeroth Law,1,Laws of Thermodynamics (Order)
First Law,2,Laws of Thermodynamics (Order)
Second Law,3,Laws of Thermodynamics (Order)
Third Law,4,Laws of Thermodynamics (Order)
Precambrian,1,Geological Eras (Chronological)
Paleozoic Era,2,Geological Eras (Chronological)
Mesozoic Era,3,Geological Eras (Chronological)
Cenozoic Era,4,Geological Eras (Chronological)
Ganymede,1,Solar System Moons (Diameter - Large to Small)
Titan,2,Solar System Moons (Diameter - Large to Small)
Callisto,3,Solar System Moons (Diameter - Large to Small)
Io,4,Solar System Moons (Diameter - Large to Small)
Moon,5,Solar System Moons (Diameter - Large to Small)
Europa,6,Solar System Moons (Diameter - Large to Small)
Triton,7,Solar System Moons (Diameter - Large to Small)
Revolutionary War,1775,US Major Wars (Chronological Start)
War of 1812,1812,US Major Wars (Chronological Start)
Mexican-American War,1846,US Major Wars (Chronological Start)
Civil War,1861,US Major Wars (Chronological Start)
Spanish-American War,1898,US Major Wars (Chronological Start)
World War I,1917,US Major Wars (Chronological Start)
World War II,1941,US Major Wars (Chronological Start)
Korean War,1950,US Major Wars (Chronological Start)
Vietnam War,1955,US Major Wars (Chronological Start)
Gulf War,1990,US Major Wars (Chronological Start)
Central Incisors,1,Human Teeth Eruption (Baby - Chronological)
Lateral Incisors,2,Human Teeth Eruption (Baby - Chronological)
First Molars,3,Human Teeth Eruption (Baby - Chronological)
Canines,Cuspids,Human Teeth Eruption (Baby - Chronological)
Second Molars,5,Human Teeth Eruption (Baby - Chronological)
O Positive,1,Blood Types (US Prevalence - High to Low)
A Positive,2,Blood Types (US Prevalence - High to Low)
B Positive,3,Blood Types (US Prevalence - High to Low)
O Negative,4,Blood Types (US Prevalence - High to Low)
A Negative,5,Blood Types (US Prevalence - High to Low)
AB Positive,6,Blood Types (US Prevalence - High to Low)
B Negative,7,Blood Types (US Prevalence - High to Low)
AB Negative,8,Blood Types (US Prevalence - High to Low)
Battery Acid,0,pH Scale (Acid to Base Examples)
Stomach Acid,1,pH Scale (Acid to Base Examples)
Vinegar,3,pH Scale (Acid to Base Examples)
Coffee,5,pH Scale (Acid to Base Examples)
Water,7,pH Scale (Acid to Base Examples)
Baking Soda,9,pH Scale (Acid to Base Examples)
Ammonia,11,pH Scale (Acid to Base Examples)
Bleach,13,pH Scale (Acid to Base Examples)
Drain Cleaner,14,pH Scale (Acid to Base Examples)
Stratus,1,Cloud Types (Altitude - Low to High)
Cumulus,2,Cloud Types (Altitude - Low to High)
Altostratus,3,Cloud Types (Altitude - Low to High)
Altocumulus,4,Cloud Types (Altitude - Low to High)
Cirrus,5,Cloud Types (Altitude - Low to High)
Calm,0,Beaufort Wind Scale (Force 0-9)
Light Air,1,Beaufort Wind Scale (Force 0-9)
Light Breeze,2,Beaufort Wind Scale (Force 0-9)
Gentle Breeze,3,Beaufort Wind Scale (Force 0-9)
Moderate Breeze,4,Beaufort Wind Scale (Force 0-9)
Fresh Breeze,5,Beaufort Wind Scale (Force 0-9)
Strong Breeze,6,Beaufort Wind Scale (Force 0-9)
High Wind,7,Beaufort Wind Scale (Force 0-9)
Gale,8,Beaufort Wind Scale (Force 0-9)
Strong Gale,9,Beaufort Wind Scale (Force 0-9)
Micro,1,Richter Scale (Impact Categories)
Minor,2,Richter Scale (Impact Categories)
Light,3,Richter Scale (Impact Categories)
Moderate,4,Richter Scale (Impact Categories)
Strong,5,Richter Scale (Impact Categories)
Major,6,Richter Scale (Impact Categories)
Great,7,Richter Scale (Impact Categories)
O,Blue,Stellar Spectral Types (Temp - Hot to Cold)
B,Blue-white,Stellar Spectral Types (Temp - Hot to Cold)
A,White,Stellar Spectral Types (Temp - Hot to Cold)
F,Yellow-white,Stellar Spectral Types (Temp - Hot to Cold)
G,Yellow,Stellar Spectral Types (Temp - Hot to Cold)
K,Orange,Stellar Spectral Types (Temp - Hot to Cold)
M,Red,Stellar Spectral Types (Temp - Hot to Cold)
Aries,1,Zodiac Signs (Calendar Order)
Taurus,2,Zodiac Signs (Calendar Order)
Gemini,3,Zodiac Signs (Calendar Order)
Cancer,4,Zodiac Signs (Calendar Order)
Leo,5,Zodiac Signs (Calendar Order)
Virgo,6,Zodiac Signs (Calendar Order)
Libra,7,Zodiac Signs (Calendar Order)
Scorpio,8,Zodiac Signs (Calendar Order)
Sagittarius,9,Zodiac Signs (Calendar Order)
Capricorn,10,Zodiac Signs (Calendar Order)
Aquarius,11,Zodiac Signs (Calendar Order)
Pisces,12,Zodiac Signs (Calendar Order)
New Moon,1,Moon Phases (Cycle)
Waxing Crescent,2,Moon Phases (Cycle)
First Quarter,3,Moon Phases (Cycle)
Waxing Gibbous,4,Moon Phases (Cycle)
Full Moon,5,Moon Phases (Cycle)
Waning Gibbous,6,Moon Phases (Cycle)
Third Quarter,7,Moon Phases (Cycle)
Waning Crescent,8,Moon Phases (Cycle)
